id	source	abbreviation	unit	concept_id_omop_grouped	concept_name
1	LABfi_TMP	b-hema	NA	NA	NA
10	LABfi_TMP	b-rapglu	NA	NA	NA
100	LABfi_TMP	vb-vka-o2s	NA	NA	NA
10002	LABfi_HUS	pt-hengäa	NA	NA	NA
10003	LABfi_HUS	pt-spirerg	NA	NA	NA
10003	LABfi_TKU	li-pi13abg	NA	NA	NA
10004	LABfi_TKU	li-pin2abg	NA	NA	NA
10004	LABfi_TMP	s-il8	ng/l	NA	NA
1001	LABfi	pt-acth-r1	Lomake	NA	NA
10015	LABfi_HUS	pt-paino	NA	3025315	Body weight
10015	LABfi_TMP	p-al	umol/l	40757478	Albumin [Moles/volume] in Serum or Plasma
10016	LABfi_HUS	pt-pitpa	NA	NA	NA
10017	LABfi_HUS	pt-pituus	NA	3036277	Body height
10018	LABfi_HUS	-bmi	NA	3038553	Body mass index (BMI) [Ratio]
1002	LABfi	pt-acth-r2	Lomake	NA	NA
10023	LABfi_HUS	s-leptin	NA	3014727	Leptin [Mass/volume] in Serum or Plasma
10023	LABfi_TKU	bm-aspir	NA	4174208	Bone marrow aspiration procedure
10024	LABfi_TKU	bm-biopsia	NA	4023913	NA
10025	LABfi_HUS	pt-noexp	NA	NA	NA
10025	LABfi_TKU	b-ly-tyyps	NA	NA	NA
1003	LABfi	pt-acth-r3	Lomake	NA	NA
10031	LABfi_TKU	p-varameta	NA	NA	NA
10032	LABfi_TMP	pf-phglula	NA	NA	NA
10033	LABfi_TMP	pf-ph	pH	NA	NA
10034	LABfi_TMP	pf-gluk	mmol/l	NA	NA
10035	LABfi_TMP	pf-laktaat	mmol/l	NA	NA
1004	LABfi	s-crh	Lomake	NA	NA
10044	LABfi_TKU	ohra,heinä	NA	NA	NA
10045	LABfi_TKU	maissi,hei	NA	NA	NA
10046	LABfi_TKU	kaninvirt	NA	NA	NA
10047	LABfi_TKU	sianvirts	NA	NA	NA
10048	LABfi_TKU	papuk,höyh	NA	NA	NA
10049	LABfi_HUS	s-sameus	NA	NA	NA
10049	LABfi_TKU	peip,höyh	NA	NA	NA
1005	LABfi	ts-crh	Lomake	NA	NA
10051	LABfi_TKU	inf.pak	NA	NA	NA
10053	LABfi_TKU	kudoslaus	NA	NA	NA
1006	LABfi	-actina	Lomake	NA	NA
10063	LABfi_TKU	s-borflabm	NA	NA	NA
10064	LABfi_TKU	s-borflabg	NA	NA	NA
1007	LABfi	-activi	Lomake	3028371	Actinomyces sp identified in Specimen by Organism specific culture
10070	LABfi_TKU	fl-hiivavi	NA	NA	NA
10072	LABfi_TMP	s-ck-mm	U/l	3029790	Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma
10073	LABfi_TMP	s-ck-mb	U/l	3029790	Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma
10074	LABfi_TMP	s-ck-bb	U/l	NA	NA
10075	LABfi_TMP	s-macro-ck	U/l	3015531	Creatine kinase.macromolecular [Enzymatic activity/volume] in Serum or Plasma
10077	LABfi_TKU	s-pii	NA	NA	NA
1008	LABfi	-activr	Lomake	NA	NA
10082	LABfi_HUS	af-crp	NA	NA	NA
10087	LABfi_HUS	cb-hbo2sat	NA	3021901	Oxygen saturation in Capillary blood
