CodeId	Abbreviation
1001	pt-acth-r1
1002	pt-acth-r2
1003	pt-acth-r3
1004	s-crh
1005	ts-crh
1006	-actina
1007	-activi
1008	-activr
1009	e-atp
1010	e-atpase
1011	f-adenag
1013	e-ak
1014	li-ak
1015	s-ak
1016	du-adr
1017	p-adr
1019	du-adrnor
1020	p-acth
1021	s-acth-ab
1022	af-alat
1023	li-alat
1024	p-alat
1025	pf-alat
1026	s-alat
1027	li-alb
1028	s-alb
1029	u-alb
1030	u-alb-o
1031	e-aldol
1032	s-aldol
1033	du-aldos
1034	s-aldos
1035	pt-aldos-r
1036	s-aldos-m
1037	s-aldos-p
1038	s-antitry
1039	am-afp
1040	s-afp
1041	s-a1glypr
1042	s-a2makro
1043	s-aendorf
1044	fs-alipopr
1045	li-afos
1046	s-afos
1047	s-afosinh
1048	s-afos-is
1049	s-afos-hs
1050	bm-afos-vr
1051	l-afos-vr
1053	s-amebab
1054	f-amebna
1055	u-amfet-o
1056	af-aminoh
1057	am-aminoh
1058	du-aminoh
1059	li-aminoh
1060	f-aminoh
1061	p-aminoh
1062	u-aminoh
1063	u-aminh-o
1068	s-amitrip
1069	pt-nh4cl-r
1070	fb-nh4-ion
1071	fp-nh4-ion
1072	u-nh4-ion
1073	af-amyl
1074	as-amyl
1075	du-amyl
1076	f-amyl
1077	pa-amyl
1078	s-amyl
1079	se-amyl
1080	u-amyl
1081	pt-amyl-cl
1082	pt-amyl-2h
1083	s-amyl-is
1084	u-amyl-is
1085	s-adioni
1086	du-andro
1087	s-andro
1088	s-angio1m
1089	s-angio1p
1090	s-angio2m
1091	s-angio2p
1092	fs-ace
1093	-micae
1094	p-adh
1095	s-adhab
1097	p-fviii
1098	p-fviiiab
1100	s-asta
1101	s-ast
1102	s-astabs
1103	p-at3
1104	u-antran
1105	p-argvaso
1106	pt-arg-r
1107	u-aromhi
1108	ha-as
1109	u-as
1110	du-aryls-a
1111	l-aryls-a
1112	du-aryls-b
1113	fs-a-vit
1114	fp-a-vit
1115	pt-a-vit-r
1116	s-aset
1117	s-aset-o
1118	u-aset-o
1119	s-asetoni
1120	u-asetoni
1121	s-keto-o
1122	u-keto-o
1123	e-aches
1124	af-asat
1125	e-asat
1126	li-asat
1127	pf-asat
1128	s-asat
1129	s-asat-is
1130	s-aspeab
1131	ex-astmak
1133	s-avlos
1134	b-b12-vit
1135	e-b12-vit
1136	li-b12-vit
1137	s-b12-vit
1138	u-b12-vit
1142	s-b12-tc2
1143	li-baktag
1144	s-baktag
1145	u-baktag
1146	-baktft
1147	-bakthe
1149	-baktlm
1150	li-baktna
1151	u-baktna
1152	-baktty
1153	b-baktvi
1154	li-baktvi
1155	u-baktvi
1156	-baktvi
1157	li-baktvr
1158	u-baktvr
1159	-baktvr
1161	s-barb
1162	u-barb
1163	s-barb-fr
1164	u-barb-fr
1165	s-barb-o
1166	u-barb-o
1168	l-baso
1169	s-b1glypr
1170	li-b2miglo
1171	s-b2miglo
1172	u-b2miglo
1173	s-bendorf
1174	fs-ohbutyr
1175	fs-blipopr
1176	s-blph
1177	s-bendi
1178	u-bendi-o
1179	dj-hco3
1180	gj-hco3
1181	pa-hco3
1182	af-bil
1183	am-bil
1184	li-bil
1185	s-bil
1186	f-bil-o
1187	u-bil-o
1188	am-bil-kj
1189	s-bil-kj
1190	li-blastit
1191	pt-bodypl
1195	pt-bodypld
1196	pt-bodyplp
1199	p-bradyk
1200	s-br
1201	u-br
1202	u-br-o
1203	pt-bsp-re
1204	pt-bsp-r
1205	s-brucab
1208	s-c1qb-ic
1209	s-c1inh
1210	s-fakb
1211	p-fix
1212	s-cocciab
1213	e-coombp
1214	e-coombm
1216	s-crp
1217	s-crp-o
1218	fp-c-vit
1219	du-c-vit
1220	s-d-25
1221	du-dhea
1222	s-dhea
1225	pt-dxm-r1
1226	pt-dxm-r2
1228	du-dala
1229	e-dala
1230	u-dala
1231	e-dalas
1232	e-daladt
1233	fs-dokol
1234	s-dokors
1235	s-11dok
1236	s-21dok
1237	pt-defer
1238	e-diafor
1239	s-dao
1240	s-diatsep
1241	u-difenh
1242	li-fenyt
1243	s-fenyt
1244	sa-fenyt
1245	u-fenyt
1246	pt-dcosb1
1247	pt-dcosb2
1248	pt-dcoss
1250	pt-dcorb
1251	e-dpg
1252	e-dpgm
1253	s-codiab
1254	-codivi
1255	s-digitok
1256	s-digoks
1257	s-dhtesto
1258	s-disop
1259	s-dnadab
1261	s-dnanab
1263	u-doksep
1264	du-dopam
1265	s-doplaas
1267	s-eaca-ab
1270	pt-ekg-12
1271	pt-ekg-15
1272	pt-ekg-atk
1274	pt-ekg-his
1276	pt-ekg-muu
1277	pt-ekg-eso
1279	pt-ekg-24h
